Animal ID,Training Start ,Training end ,Baseline start ,Baseline end ,Sx date ,post-Sx testing,group,Training Time,Notes
14669,9/2/2024,9/10/2024,9/11/2024,9/13/2024,9/20/2024,10/3/2024,mpfc,8,
14670,9/2/2024,9/11/2024,9/12/2024,9/14/2024,9/20/2024,10/3/2024,mpfc,9,
14667,9/2/2024,9/8/2024,9/9/2024,9/11/2024,9/21/2024,10/3/2024,sham,6,
14668,9/2/2024,9/10/2024,9/11/2024,9/13/2024,9/21/2024,10/3/2024,sham,8,
14665,9/2/2024,9/15/2024,9/16/2024,9/18/2024,9/23/2024,10/3/2024,ofc,13,
14666,9/2/2024,9/9/2024,9/10/2024,9/12/2024,9/23/2024,10/3/2024,mpfc,7,
14663,9/2/2024,9/16/2024,9/17/2024,9/19/2024,9/23/2024,10/3/2024,ofc,14,
14664,9/2/2024,9/10/2024,9/11/2024,9/13/2024,9/23/2024,10/3/2024,ofc,8,
14671,9/2/2024,9/12/2024,9/13/2024,9/15/2024,9/20/2024,10/3/2024,mpfc,10,
14672,9/2/2024,9/12/2024,9/13/2024,9/15/2024,9/20/2024,10/3/2024,?????,10,
14643,9/2/2024,9/10/2024,9/11/2024,9/13/2024,9/21/2024,10/3/2024,ofc,8,
14644,9/2/2024,,,,,,,-45537,
14679,9/2/2024,9/9/2024,9/10/2024,9/12/2024,9/20/2024,10/3/2024,ofc,7,
14680,9/2/2024,9/12/2024,9/13/2024,9/15/2024,9/20/2024,10/3/2024,ofc,10,
14681,9/2/2024,9/9/2024,9/10/2024,9/12/2024,9/20/2024,10/3/2024,ofc,7,
14645,9/2/2024,9/17/2024,9/18/2024,9/20/2024,9/28/2024,10/11/2024,mpfc,15,
14646,9/2/2024,9/9/2024,9/10/2024,9/12/2024,9/28/2024,10/11/2024,mpfc,7,
14676,9/2/2024,9/10/2024,9/11/2024,9/13/2024,9/21/2024,10/4/2024,sham,8,
14677,9/2/2024,9/11/2024,9/12/2024,9/14/2024,9/21/2024,10/4/2024,sham,9,
14678,9/2/2024,9/14/2024,9/15/2024,9/17/2024,9/21/2024,10/4/2024,sham,12,
14647,9/2/2024,9/9/2024,9/10/2024,9/12/2024,9/23/2024,10/3/2024,mpfc,7,
14648,9/2/2024,9/16/2024,9/17/2024,9/19/2024,9/23/2024,10/3/2024,mpfc,14,
14651,9/2/2024,9/10/2024,9/11/2024,9/13/2024,9/21/2024,10/3/2024,mpfc,8,
14652,9/2/2024,,,,,,,-45537,
14653,9/2/2024,9/18/2024,9/19/2024,9/21/2024,9/28/2024,10/11/2024,ofc,16,
14654,9/2/2024,9/8/2024,9/9/2024,9/11/2024,9/28/2024,10/11/2024,ofc,6,
14655,9/2/2024,9/8/2024,9/9/2024,9/12/2024,9/21/2024,10/3/2024,ofc,6,6 days baseline
14656,9/2/2024,,,,,,,-45537,
14649,9/2/2024,9/17/2024,9/18/2024,9/20/2024,9/28/2024,10/11/2024,ofc,15,
14650,9/2/2024,9/17/2024,9/18/2024,9/22/2024,9/28/2024,10/11/2024,ofc,15,Some botched days
14657,9/17/2024,9/21/2024,9/22/2024,9/24/2024,9/29/2024,10/11/2024,mpfc,4,
14658,9/17/2024,,,,,,,-45552,
14659,9/17/2024,9/22/2024,9/23/2024,9/25/2024,9/29/2024,10/11/2024,mpfc,5,
14660,9/17/2024,9/21/2024,9/22/2024,9/24/2024,9/29/2024,10/11/2024,mpfc,4,
14661,9/17/2024,9/21/2024,9/22/2024,9/24/2024,9/30/2024,10/11/2024,sham,4,
14637,9/17/2024,9/21/2024,9/22/2024,9/24/2024,9/29/2024,10/11/2024,sham,4,
14638,9/17/2024,9/21/2024,9/22/2024,9/24/2024,9/29/2024,10/11/2024,sham,4,
14639,9/17/2024,,,,,,,-45552,
14640,9/17/2024,9/22/2024,9/24/2024,9/26/2025,9/30/2024,10/11/2024,mpfc,5,
14662,9/17/2024,9/23/2024,9/24/2024,9/26/2025,9/30/2024,10/11/2024,sham,6,
14641,9/17/2024,,,,,,,-45552,
14642,9/17/2024,,,,,,,-45552,
14673,9/17/2024,9/21/2024,9/22/2024,9/25/2024,9/30/2024,10/11/2024,ofc,4,
14674,9/17/2024,9/22/2024,9/23/2024,9/26/2025,9/30/2024,10/11/2024,ofc,5,
14675,9/17/2024,,,,,,,-45552,
